1	2					
1		3				
1	2					
1			4			
1	2					
1		3				
1	2					
1						
1	2					
1		3				
1	2					
1				5		
1	2		4			
1		3				
1	2					
1						
1	2					
1		3				
1	2					
1			4			
1	2					
1		3				
1	2					
1					6	
1	2					
1		3				
1	2					
1				5		
1	2		4			
1		3				
1	2					
1						
1	2					
1		3				
1	2					
1			4			
1	2					
1		3				
1	2					
1						
1	2					
1		3				
1	2					
1				5		
1	2		4			
1		3				
1	2					
1						
1	2					
1		3				
1	2					
1			4			
1	2					
1		3				
1	2					
1						7
1	2					
1		3				
1	2				6	
1				5		
1	2		4			
1		3				
1	2					
1						
